Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,650.000000,668.000000,646.900024,654.099976,654.099976,1614042
2020-06-26,657.849976,663.500000,648.200012,652.150024,652.150024,1001664
2020-06-29,645.000000,647.900024,629.650024,636.549988,636.549988,1137562
2020-06-30,640.000000,647.950012,627.400024,630.250000,630.250000,1499574
2020-07-01,634.650024,653.750000,626.349976,649.650024,649.650024,1343198
2020-07-02,654.000000,658.500000,641.000000,654.200012,654.200012,1395016
2020-07-03,661.349976,677.049988,654.200012,674.849976,674.849976,2461518
2020-07-06,678.900024,704.900024,677.000000,698.799988,698.799988,2844630
2020-07-07,705.000000,726.000000,698.200012,703.849976,703.849976,4554530
2020-07-08,710.000000,721.000000,691.049988,695.450012,695.450012,2209024
2020-07-09,702.000000,704.849976,693.200012,698.150024,698.150024,1549853
2020-07-10,693.549988,710.000000,690.099976,703.150024,703.150024,1952538
2020-07-13,706.000000,708.450012,693.099976,698.200012,698.200012,1082191
2020-07-14,692.000000,695.450012,685.000000,691.349976,691.349976,1399402
2020-07-15,695.000000,704.900024,690.750000,692.200012,692.200012,1068015
2020-07-16,696.000000,723.299988,685.700012,719.900024,719.900024,3365778
2020-07-17,722.000000,760.000000,720.049988,755.950012,755.950012,6690584
2020-07-20,756.299988,768.799988,731.349976,751.000000,751.000000,6764802
2020-07-21,785.000000,798.450012,765.700012,777.099976,777.099976,10761840
2020-07-22,778.000000,781.849976,750.000000,754.200012,754.200012,3466851
2020-07-23,753.000000,766.000000,741.099976,744.049988,744.049988,2255744
2020-07-24,740.000000,751.000000,735.000000,740.799988,740.799988,1742826
2020-07-27,745.000000,763.450012,735.000000,750.650024,750.650024,2831840
