OPEN,SMA 5,SMA 10,EMA 5,EMA 10,MACD,WILLR,SO,AD,RSI,ROC1,ROC2,ROC3,ROC5,ROC10,MFI,HIGH,LOW,VOLUME,CLOSE
0.000593929,0.00068127,0.000738819,0.000672361,0.000705908,0.613138313,0.500006545,0.443552197,0.299794799,0.617579874,0.462846476,0.411893293,0.406328959,0.541170201,0.385306406,0.315491245,0.000662305,0.000635292,0.092471278,0.000840122
0.000703576,0.000707545,0.000750099,0.000732208,0.000740304,0.61316656,0.891898624,0.6074843,0.342696273,0.66238004,0.558361202,0.501899222,0.499665368,0.602370321,0.488478193,0.31549607,0.000803902,0.000756743,0.106385082,0.000877048
0.000822365,0.000752588,0.000764199,0.000784597,0.000775341,0.61320098,0.829266237,0.742434002,0.259058669,0.63034601,0.468099882,0.506409107,0.513395487,0.647501408,0.498226135,0.315539046,0.000895254,0.000868851,0.099815142,0.000784728
0.000854344,0.000782617,0.000776419,0.0007883,0.000786772,0.613119772,0.585366882,0.771417139,0.195668804,0.508053681,0.382818429,0.36030853,0.452513425,0.61237841,0.492435727,0.303826058,0.000835874,0.000831483,0.082364001,0.000775497
0.000776676,0.000808893,0.000791458,0.000787647,0.000794401,0.613061346,0.560978351,0.659056901,0.265510273,0.439729782,0.437376113,0.335498029,0.365933828,0.603337384,0.502931841,0.315086141,0.000767358,0.000784768,0.090919224,0.000784728
0.000740129,0.000831414,0.000802738,0.000790334,0.000802367,0.613019496,0.585366882,0.576243632,0.265504752,0.541883459,0.449807672,0.390654592,0.352983731,0.59409607,0.489006699,0.314239114,0.000767358,0.000803457,0.036105228,0.000913974
0.000772108,0.000846427,0.000823417,0.000835838,0.000833015,0.613083155,0.926820359,0.692180301,0.313053133,0.616868156,0.530514492,0.467677381,0.460062978,0.575083714,0.521655238,0.315689652,0.000867845,0.000831483,0.054523774,0.001024762
0.000913739,0.000876456,0.000861016,0.000903646,0.000878776,0.613196955,1,0.841245138,0.33955308,0.731787098,0.515889954,0.523873018,0.5188536,0.608422388,0.582848264,0.315455824,0.000977471,0.000971622,0.087625841,0.001015531
0.001032523,0.000923375,0.000899555,0.000945731,0.000914494,0.613293022,0.907413333,0.95059237,0.252815779,0.759134936,0.437709654,0.44534662,0.50958465,0.648545776,0.586813571,0.315378341,0.00101401,0.001037016,0.058553225,0.001043225
0.001041659,0.000977802,0.000939974,0.000983156,0.000948889,0.613376267,0.866666027,0.930167647,0.255921483,0.752884327,0.461247927,0.400351028,0.458196192,0.665997211,0.593207265,0.315378469,0.001068823,0.001046358,0.04700746,0.001135545
0.001014249,0.001049119,0.000986973,0.001039332,0.000994267,0.61353014,0.88571358,0.891362985,0.292530262,0.770760595,0.502101153,0.453814708,0.448158042,0.70437969,0.615545895,0.315380358,0.001160175,0.001018332,0.082902383,0.001033994
0.001087349,0.001073518,0.001006712,0.001042437,0.001012435,0.613504493,0.716417782,0.826512605,0.2912317,0.727547214,0.380515499,0.385826324,0.405576404,0.595350462,0.516263843,0.315388194,0.001068823,0.000943591,0.123672184,0.000950905
0.00096856,0.001058504,0.001014232,0.001016406,0.001011788,0.613392644,0.582088911,0.729887662,0.219728658,0.674452041,0.390811735,0.296030655,0.354615422,0.508655723,0.474435292,0.315540981,0.001032279,0.000980964,0.071369235,0.000932442
0.00096856,0.001041613,0.001029272,0.000992807,0.001007812,0.61329789,0.552239961,0.616660464,0.245366641,0.657128916,0.431636713,0.337431359,0.305588821,0.504515979,0.500931758,0.315536389,0.000977471,0.000943591,0.053829766,0.000913974
0.000886323,0.001015337,0.001043371,0.000970827,0.00100111,0.613223101,0.407402667,0.511737875,0.30342834,0.632617071,0.431582845,0.370932947,0.341772807,0.484503424,0.497793781,0.315909177,0.000904389,0.000831483,0.080403955,0.000840122
0.000950286,0.000955281,0.001049011,0.000931195,0.000981838,0.613111392,0.230776047,0.392453564,0.261627877,0.496666972,0.395386491,0.341146736,0.34506162,0.414261084,0.468504538,0.314879061,0.000922658,0.000775426,0.058107378,0.000840122
0.000840639,0.000915869,0.001041492,0.000904772,0.00096607,0.612973298,0.230776047,0.283304127,0.273604411,0.472266657,0.4435851,0.350882737,0.353541415,0.455997125,0.423876574,0.315135934,0.000849576,0.000812799,0.065934944,0.000793959
0.000858913,0.000883963,0.001017992,0.000871544,0.00094455,0.612808489,0.134617515,0.190683012,0.224909832,0.503153109,0.412938091,0.365365721,0.340253112,0.470915992,0.372333428,0.315121014,0.000849576,0.000831483,0.055979087,0.000710871
0.000758403,0.00083892,0.000986973,0.000821288,0.00091143,0.61255917,0.084749734,0.141101428,0.251634886,0.455435657,0.387822386,0.319848084,0.334828254,0.441568902,0.347575227,0.315105915,0.000739954,0.000710028,0.070212556,0.000840122
0.00069444,0.000823907,0.000966294,0.000831497,0.000908462,0.612459753,0.322041179,0.172089472,0.319642764,0.527414058,0.532063556,0.416218955,0.397039403,0.507831457,0.381818032,0.315124129,0.000794768,0.000719375,0.062755127,0.000775497
0.000877186,0.000810769,0.000929635,0.000816447,0.000893968,0.612316916,0.203395457,0.195442245,0.230997537,0.414018669,0.400680699,0.427159301,0.388056018,0.511493436,0.332270033,0.315100554,0.000849576,0.00079411,0.064101081,0.000858585
0.000767539,0.000814523,0.000911775,0.000834514,0.000897622,0.612284859,0.355937168,0.287520872,0.286506851,0.394180029,0.499591835,0.400768975,0.470349097,0.54964858,0.390865493,0.315092642,0.000831306,0.000831483,0.038851817,0.000913974
0.000858913,0.00083892,0.000908015,0.000865293,0.000910953,0.612285119,0.457625133,0.333556871,0.265502434,0.43732981,0.480199463,0.467677381,0.432585705,0.59688248,0.436565987,0.315138271,0.000922658,0.000906224,0.055449118,0.001117082
0.000932012,0.000921499,0.000926814,0.000954508,0.000959781,0.612464421,0.830510295,0.546486624,0.315814245,0.532627529,0.576141685,0.531656965,0.56396968,0.733510197,0.511712703,0.315140571,0.001068823,0.000962275,0.057972782,0.001283259
0.001114759,0.001011584,0.000964414,0.001070191,0.001030757,0.612756818,0.807228414,0.699717465,0.276885569,0.563871921,0.547208914,0.589528186,0.600566227,0.744663489,0.574910941,0.315130344,0.001379422,0.001149129,0.123083329,0.001190939
0.001169585,0.001096039,0.001000133,0.001116093,0.001071594,0.612889505,0.686747908,0.777513513,0.25481284,0.568662012,0.388040572,0.428657942,0.528088947,0.734868141,0.570677809,0.31514881,0.001196714,0.001205181,0.06193073,0.001190939
0.001178722,0.001163603,0.001035851,0.001146695,0.001105006,0.613031653,0.686747908,0.72870062,0.272906912,0.615624983,0.4435851,0.344821134,0.430429441,0.693135796,0.570677809,0.315123702,0.001178444,0.001186497,0.041350245,0.001320185
0.001206132,0.001246182,0.00108943,0.001210811,0.001156475,0.613272795,0.855417841,0.745062795,0.294030682,0.670231801,0.522895174,0.456098572,0.413146328,0.724545297,0.63348051,0.314942418,0.00130634,0.001242554,0.05927247,0.001394042
0.001334058,0.001302485,0.001158988,0.001278537,0.001212376,0.613493959,0.951803634,0.83505947,0.298425044,0.701641764,0.487676917,0.493496285,0.487396915,0.660629587,0.693276046,0.317091683,0.001379422,0.001279921,0.059751966,0.001412505
0.001425432,0.001328759,0.001217266,0.001329934,0.001261561,0.613663733,0.931032428,0.918003517,0.240652948,0.752881947,0.454438982,0.436132775,0.495610804,0.594957149,0.647496007,0.315495691,0.001415961,0.001448086,0.057211477,0.001338653
0.001370606,0.001358788,0.001274604,0.001339222,0.001288016,0.613704401,0.839084493,0.912457714,0.246526308,0.706299963,0.40033464,0.363785828,0.405032741,0.603867443,0.647287997,0.315505131,0.001361148,0.001354662,0.066263021,0.001338653
0.001297506,0.001388816,0.001323483,0.001345415,0.001309662,0.613753996,0.839084493,0.874185204,0.306072905,0.734729424,0.4435851,0.354965781,0.373432297,0.603867443,0.614775661,0.315518159,0.001288071,0.001298605,0.045804513,0.001338653
0.001315785,0.001392571,0.001366722,0.001349544,0.001327372,0.613811636,0.837212418,0.84232968,0.265507913,0.791971044,0.4435851,0.390654592,0.365682936,0.548796372,0.593790917,0.315422074,0.001324609,0.001354662,0.049981178,0.00159715
0.001306643,0.001433861,0.001415601,0.001439724,0.001390125,0.614094045,0.91999977,0.869803547,0.327534081,0.814999692,0.597308909,0.517502259,0.50848875,0.623760041,0.605382182,0.315425853,0.001616939,0.001373346,0.128963468,0.001744859
0.001608178,0.001501425,0.001462599,0.001549804,0.001469046,0.614456563,0.866665387,0.879168328,0.241512364,0.87827005,0.526920418,0.589984776,0.572172453,0.67580142,0.594083271,0.315399325,0.001836181,0.001690992,0.204900536,0.001837184
0.001772651,0.001602771,0.001528398,0.001654421,0.001550857,0.614848477,0.946431878,0.916252561,0.34621284,0.879191878,0.494190888,0.502401893,0.61197792,0.746235698,0.656144097,0.315373843,0.001836181,0.001709676,0.182347387,0.002160302
